trial;counter;index;instructionType;totalChars 
8;237;1405;Identifier;18240 
8;238;1405;Identifier;18238 
8;241;1423;Identifier;18236 
8;242;1422;Identifier;18234 
8;243;1420;Identifier;18232 
8;244;1420;Identifier;18230 
8;245;1421;Identifier;18228 
8;246;1420;Identifier;18226 
8;249;1442;Identifier;18224 
8;255;1491;Identifier;18220 
8;256;1496;Identifier;18218 
8;257;1496;Identifier;18216 
8;259;1502;Identifier;18214 
8;262;1529;Identifier;18212 
8;263;1528;Identifier;18210 
8;271;1591;Identifier;18208 
8;272;1596;Identifier;18206 
8;273;1596;Identifier;18204 
8;274;1594;Identifier;18202 
8;277;1613;Identifier;18200 
